"Year","Country.Code","Country","Continent","Average Annual Temperature","Electric.Power.kWh.per.Capita","Forest.Area.Percentage","Fossil.Fuel.Percentage","Greenhouse.Gases.KT.CO2","Total.Population","Renewable.Percentage","StandardisedTemp","StandardisedElectric","StandardisedForest","StandardisedFossil","StandardisedGreenhouse","StandardisedPopulation","StandardisedRenewable"
1990,"AGO","Angola","Africa",22.3338611111111,51.7605105262393,48.9099221945937,25.4803884173733,50806.5426914,12171441,72.2552305712021,0.757723460467654,0.000837123222486303,0.516496599683728,0.255303154568967,0.0030947879316077,0.00856321124394744,0.759624137619934
1990,"ALB","Albania","Europe",16.3710833333333,552.252184819181,28.7883211678832,76.5939750800565,11112.72956,3286542,25.5180866608373,0.555423616777409,0.00893157976767977,0.304009275145776,0.767440556188002,0.000676911663491906,0.00231224498464114,0.268273375092861
1990,"ARG","Argentina","Americas",17.4104583333334,1299.55206792208,12.7135335021504,88.6526051343886,266555.03,32729739,8.92290362021342,0.590686611286307,0.0210176677901232,0.134256946835865,0.888263137155883,0.0162367137430307,0.0230269915465445,0.0938070906976228
1990,"ARM","Armenia","Asia",9.09783333333333,2722.59773074461,11.7667720407446,97.0440551837946,24729.9166,3538165,2.1189445320573,0.308663232111787,0.0440325986494944,0.12425899440441,0.972342062246386,0.0015063777889437,0.0024892742207715,0.0222766075217539
1990,"AUS","Australia","Oceania",17.3515833333333,8527.22808539065,16.7320984600966,93.911285686017,482298.262,17065100,8.00957862095012,0.588689152427174,0.137910939848618,0.176693635410618,0.940952982840723,0.0293783194369103,0.0120061425922442,0.0842052430604689
1990,"AUT","Austria","Europe",7.46011666666667,6111.47652011957,45.7253572293533,79.1323454283578,79836.956,7677850,25.1357520479039,0.253100231439465,0.0988409671129182,0.482867084398987,0.792873997263169,0.0048631226380794,0.00540174753748072,0.264253865386286
1990,"BEN","Benin","Africa",27.5631388888889,34.9503143117922,51.0908123448031,4.83899802265073,47187.972,4978496,93.7032356003078,0.935137765760039,0.000565251761355114,0.539527148421575,0.0484847970093495,0.0028743692943185,0.00350261837732668,0.985108468582624
1990,"BGD","Bangladesh","Asia",25.523,48.3667547043308,11.4772989168011,45.5242869773416,126701.696,106188642,71.6649821654099,0.865921740325259,0.000782235977729946,0.12120211192519,0.456134886346304,0.00771780284434509,0.0747089661079497,0.753418816113284
1990,"BGR","Bulgaria","Europe",11.7050357142857,4758.73190255565,30.0732170297388,84.1211555653564,108086.0268,8718289,1.91684817849059,0.397118085502629,0.0769630157182532,0.317577980917904,0.84285985087963,0.00658386328996733,0.00613374787691805,0.0201519548553567
1990,"BLR","Belarus","Europe",8.06820833333333,4380.90097163608,38.3553539735752,95.6186318492629,185411.7606,10189000,0.817357721006539,0.273731026968098,0.0708523525267444,0.405038671462191,0.95805989872748,0.0112940194054996,0.00716846586731846,0.00859293713463071
1990,"BOL","Bolivia","Americas",11.9277361111111,266.472430094378,57.966398966122,67.2030586177613,192645.695,6856244,37.3590056658703,0.404673667338235,0.00430966111262136,0.612134442635072,0.673347383123069,0.0117346613325668,0.00482370704603072,0.392757759361238
1990,"BRA","Brazil","Americas",22.5898772727273,1457.34766648313,65.4098878458604,51.2158302683818,1606209.334,149352145,49.8646775770758,0.76640935006598,0.0235696974864806,0.69073887551216,0.513161841067986,0.0978393135839226,0.105076627111915,0.524230735999879
1990,"CAN","Canada","Americas",6.17454333333333,16109.2799827282,38.299072635319,73.6054915608937,608685,27791000,22.0207495526384,0.20948443791536,0.260535536337866,0.404444331530115,0.737497163751354,0.0370769371888297,0.0195523441867354,0.231505632968451
1990,"CHE","Switzerland","Europe",8.8136,7445.292016894,29.1178628348807,58.4753573621697,56393.8008,6715519,17.1141267384499,0.299020015301128,0.120412777659415,0.307489287847108,0.58589935736343,0.00343512557414915,0.00472470004247999,0.179921974672857
1990,"CHL","Chile","Americas",12.0910347222222,1240.66124699557,20.5276975301668,72.1564768684925,54730.277,13242132,34.0268712933813,0.410213917995525,0.020065225990619,0.216775768554364,0.72297862439759,0.00333379505434872,0.00931649536289387,0.357726804797451
1990,"CHN","China","Asia",13.758732854148,510.619854913516,16.7380076159029,75.709160650649,3892675.1604,1135185000,34.0836125264534,0.466794103268978,0.00825825970541771,0.17675603704088,0.758575074573842,0.237115211346868,0.798658840474228,0.358323329227574
1990,"COL","Colombia","Americas",23.1722756410256,841.864093454734,58.0594862550698,67.3796645736493,174396.943,34271565,38.251192896859,0.786168446122067,0.0136154758838995,0.613117459292184,0.675116903152172,0.0106230718705651,0.0241117424597199,0.402137384207462
1990,"CRI","Costa Rica","Americas",25.4998333333333,1080.10510352891,50.2154328241285,58.5136336294803,8593.78662,3095995,45.3807839464773,0.86513576217545,0.017468549975597,0.530283000699107,0.586282870033231,0.000523474846142003,0.00217818573784362,0.477091258270769
1990,"CUB","Cuba","Americas",26.3075357142857,1214.0334212146,19.1620111731844,61.6894323721657,57043.9724,10582081,42.890209869391,0.892538773239164,0.0196345739143751,0.202353902234286,0.61810308501594,0.00347472959195008,0.00744501780878391,0.450907684147081
1990,"CZE","Czech Republic","Europe",9.46093333333333,5600.40761204856,34.0235537724861,91.6258468911879,196206.7838,10333355,2.87739927798035,0.32098216734323,0.0905754448665702,0.359294168629612,0.918053813317219,0.0119515785652265,0.0072700267555584,0.0302502936859382
1990,"DEU","Germany","Europe",9.97955555555556,6639.73169146049,32.3661673302208,86.8378846422216,1256074.03,79433029,2.09803379509295,0.338577522796665,0.107384442956415,0.341791902762451,0.870080374055015,0.0765114598106248,0.0558850679285718,0.0220567715263807
